general_type	oracle	postgres	mysql	sqlserver	azuresql	azuredwh	redshift	snowflake	sqlite	bigquery
bigint	number(19)	bigint	bigint	bigint	bigint	bigint	bigint	bigint	integer	int64
binary	varbinary()	bytes	varbinary	varbinary	varbinary	varbinary	varchar(65535)	binary	blob	bytes
bool	varchar(5)	bool	boolean	varchar(5)	varchar(5)	varchar(5)	bool	boolean	text	bool
date	timestamp	date	datetime	datetime2	datetime2	datetime2	date	date	text	date
datetime	timestamp	timestamp	datetime	datetime2	datetime2	datetime2	timestamp	datetime	text	timestamp
decimal	number(,)	numeric(,)	decimal(,)	decimal(,)	decimal(,)	decimal(,)	decimal(,)	decimal(,)	real	numeric
integer	number(10)	integer	integer	integer	integer	integer	integer	integer	integer	int64
json	clob	jsonb	json	text	varchar(65535)	varchar(max)	varchar(65535)	text	text	string
smallint	number(5)	smallint	smallint	smallint	smallint	smallint	smallint	smallint	integer	int64
string	varchar()	varchar()	varchar()	varchar()	varchar()	varchar()	varchar(65535)	varchar	text	string
text	clob	text	mediumtext	text	text	varchar(max)	varchar(65535)	text	text	string
timestamp	timestamp	timestamp	timestamp	datetime2	datetime2	datetime2	timestamp	timestamp	text	timestamp
float	float	double precision	double	float	float	float	double precision	float	real	float64
time	timestamp	time	time	time	time	time	timestamp	time	text	time