database	native_type	general_type	ddl_string	test	stats_allowed	Comment
azuresql	bigint	bigint	col_bigint bigint	TRUE	TRUE	
azuresql	binary	binary	col_binary binary(100)	TRUE	TRUE	
azuresql	bit	smallint	col_bit bit	TRUE	TRUE	
azuresql	char	string	col_char char	TRUE	TRUE	
azuresql	date	date	col_date date	TRUE	TRUE	
azuresql	datetime	datetime	col_datetime datetime	TRUE	TRUE	
azuresql	datetime2	datetime	col_datetime2 datetime2	TRUE	TRUE	
azuresql	datetimeoffset	datetime	col_datetimeoffset datetimeoffset	TRUE	TRUE	
azuresql	decimal	decimal	col_decimal decimal	TRUE	TRUE	
azuresql	float	float	col_float float	TRUE	TRUE	
azuresql	image	binary	col_image image	TRUE	TRUE	
azuresql	int	integer	col_int int	TRUE	TRUE	
azuresql	money	decimal	col_money money	TRUE	TRUE	
azuresql	nchar	string	col_nchar nchar	TRUE	TRUE	
azuresql	ntext	string	col_ntext ntext	TRUE	TRUE	
azuresql	numeric	decimal	col_numeric numeric	TRUE	TRUE	
azuresql	nvarchar	string	col_nvarchar nvarchar	TRUE	TRUE	
azuresql	real	decimal	col_real real	TRUE	TRUE	
azuresql	smalldatetime	datetime	col_smalldatetime smalldatetime	TRUE	TRUE	
azuresql	smallint	smallint	col_smallint smallint	TRUE	TRUE	
azuresql	smallmoney	decimal	col_smallmoney smallmoney	TRUE	TRUE	
azuresql	time	time	col_time time	TRUE	TRUE	
azuresql	tinyint	smallint	col_tinyint tinyint	TRUE	TRUE	
azuresql	varbinary	binary	col_varbinary varbinary(100)	TRUE	TRUE	
azuresql	varchar	string	col_varchar varchar	TRUE	TRUE	
bigquery	array	string		FALSE	FALSE	
bigquery	bool	bool	col_bool bool	FALSE	FALSE	
bigquery	bytes	binary	col_bytes bytes	TRUE	FALSE	
bigquery	date	date	col_date date	FALSE	FALSE	
bigquery	datetime	datetime	col_datetime datetime	TRUE	TRUE	
bigquery	float64	float	col_float64 float64	TRUE	TRUE	
bigquery	geography	string	col_geography geography	FALSE	FALSE	
bigquery	int64	bigint	col_int64 int64	TRUE	TRUE	
bigquery	numeric	decimal	col_numeric numeric	TRUE	TRUE	
bigquery	string	string	col_string string	TRUE	TRUE	
bigquery	struct	string		FALSE	FALSE	
bigquery	time	time	col_time time	FALSE	FALSE	
bigquery	timestamp	timestamp	col_timestamp timestamp	TRUE	TRUE	
mysql	bigint	bigint	col_bigint bigint	TRUE	TRUE	A large integer
mysql	binary	binary	col_binary binary(100)	TRUE	TRUE	A fixed-length binary string
mysql	bit	smallint	col_bit bit	FALSE	FALSE	A bit field
mysql	blob	text	col_blob blob	TRUE	TRUE	A small BLOB
mysql	char	string	col_char char(17)	TRUE	TRUE	A fixed-length nonbinary (character) string
mysql	date	date	col_date date	TRUE	TRUE	A date value in CCYY-MM-DD format
mysql	datetime	datetime	col_datetime datetime	TRUE	TRUE	A date and time value inCCYY-MM-DD hh:mm:ssformat
mysql	decimal	decimal	col_decimal decimal	TRUE	TRUE	A fixed-point number
mysql	double	float	col_double double	TRUE	TRUE	A double-precision floating point number
mysql	enum	string	col_enum enum ('value1','value2','value3')	FALSE	FALSE	An enumeration; each column value may be assigned one enumeration member
mysql	float	float	col_float float	TRUE	TRUE	A single-precision floating point number
mysql	geometry	string	col_geometry geometry	FALSE	FALSE	A spatial value of any type
mysql	geometrycollection	string	col_geometrycollection geometrycollection	FALSE	FALSE	A collection of GEOMETRYvalues
mysql	geomcollection	string		FALSE	FALSE	
mysql	int	integer	col_int int	TRUE	TRUE	A standard integer
mysql	json	json	col_json json	TRUE	TRUE	JSON Data Type
mysql	linestring	string	col_linestring linestring	FALSE	FALSE	A curve (one or more POINT values)
mysql	longblob	text	col_longblob longblob	TRUE	TRUE	A large BLOB
mysql	longtext	text	col_longtext longtext	TRUE	TRUE	A large non-binary string
mysql	mediumblob	text	col_mediumblob mediumblob	TRUE	TRUE	A medium-sized BLOB
mysql	mediumint	integer	col_mediumint mediumint	TRUE	TRUE	A medium-sized integer
mysql	mediumtext	text	col_mediumtext mediumtext	TRUE	TRUE	A medium-sized non-binary string
mysql	multilinestring	string	col_multilinestring multilinestring	FALSE	FALSE	A collection of LINESTRINGvalues
mysql	multipoint	string	col_multipoint multipoint	FALSE	FALSE	A collection of POINTvalues
mysql	multipolygon	string	col_multipolygon multipolygon	FALSE	FALSE	A collection of POLYGONvalues
mysql	point	string	col_point point	FALSE	FALSE	A point (a pair of X-Y coordinates)
mysql	polygon	string	col_polygon polygon	FALSE	FALSE	A polygon
mysql	set	string	col_set set('one', 'two')	FALSE	FALSE	A set; each column value may be assigned zero or more SET members
mysql	smallint	smallint	col_smallint smallint	TRUE	TRUE	A small integer
mysql	text	text	col_text text	TRUE	TRUE	A small non-binary string
mysql	time	time	col_time time	TRUE	TRUE	A time value in hh:mm:ss format
mysql	timestamp	timestamp	col_timestamp timestamp	TRUE	TRUE	A timestamp value in CCYY-MM-DD hh:mm:ss format
mysql	tinyblob	text	col_tinyblob tinyblob	TRUE	TRUE	A very small BLOB (binary large object)
mysql	tinyint	smallint	col_tinyint tinyint	TRUE	TRUE	A very small integer
mysql	tinytext	text	col_tinytext tinytext	TRUE	TRUE	A very small non-binary string
mysql	varbinary	binary	col_varbinary varbinary(100)	TRUE	FALSE	A variable-length binary string
mysql	varchar	string	col_varchar varchar(100)	TRUE	TRUE	A variable-length non-binary string
mysql	year	string	col_year year	FALSE	FALSE	A year value in CCYY or YY format
oracle	bfile	binary	col_bfile bfile	FALSE	FALSE	Binary data stored in an external file.
oracle	blob	text	col_blob blob	FALSE	FALSE	Unstructured binary data.
oracle	char	string	col_char char(17)	TRUE	TRUE	Fixed-length character data of length size bytes.
oracle	clob	text	col_clob clob	TRUE	TRUE	Single-byte character data.
oracle	date	datetime	col_date date	TRUE	TRUE	Fixed-length date and time data, ranging from Jan. 1, 4712 B.C.E. to Dec. 31, 4712 C.E.
oracle	float	float	col_float float	TRUE	TRUE	
oracle	long	string	col_long long	TRUE	FALSE	Variable-length raw binary data.
oracle	mlslabel	string	col_mlslabel mlslabel	FALSE	FALSE	Trusted Oracle datatype.
oracle	nchar	string	col_nchar nchar(17)	TRUE	TRUE	Fixed-length character data of length size characters or bytes, depending on the national character set.
oracle	nclob	text	col_nclob nclob	TRUE	TRUE	Single-byte or fixed-length multibyte national character set (NCHAR) data.
oracle	number	decimal	col_number number	TRUE	TRUE	Variable-length numeric data. Maximum precision p and/or scale s is 38.
oracle	nvarchar2	string	col_nvarchar2 nvarchar2(100)	TRUE	TRUE	Variable-length character data of length size characters or bytes, depending on national character set. A maximum size must be specified.
oracle	raw	binary	col_raw raw(100)	TRUE	FALSE	Variable-length raw binary data.
oracle	rowid	bigint	col_rowid rowid	FALSE	FALSE	Binary data representing row addresses.
oracle	timestamp	timestamp	col_ timestamp timestamp	TRUE	TRUE	
oracle	varchar2	string	col_varchar2 varchar2(100)	TRUE	TRUE	Variable-length character data.
postgres	bigint	bigint	col_bigint bigint	TRUE	TRUE	signed eight-byte integer
postgres	bigserial	bigint	col_bigserial bigserial	TRUE	TRUE	autoincrementing eight-byte integer
postgres	bit	bool	col_bit bit	FALSE	FALSE	fixed-length bit string
postgres	bit varying	string	col_bit_varying bit varying	FALSE	FALSE	variable-length bit string
postgres	bool	bool	col_bool bool	TRUE	FALSE	logical Boolean (true/false)
postgres	boolean	bool	col_boolean boolean	TRUE	FALSE	logical Boolean (true/false)
postgres	box	string	col_box box	FALSE	FALSE	rectangular box on a plane
postgres	bytea	binary	col_bytea bytea	TRUE	FALSE	binary data ("byte array")
postgres	char	string	col_char char(17)	TRUE	TRUE	fixed-length character string
postgres	bpchar	string	col_bpchar bpchar(17)	FALSE	TRUE	
postgres	character	string	col_character character(17)	TRUE	TRUE	fixed-length character string
postgres	character varying	string	col_character_varying character varying	TRUE	TRUE	variable-length character string
postgres	cidr	string	col_cidr cidr	FALSE	FALSE	IPv4 or IPv6 network address
postgres	circle	string	col_circle circle	FALSE	FALSE	circle on a plane
postgres	date	date	col_date date	TRUE	TRUE	calendar date (year, month, day)
postgres	decimal	decimal	col_decimal decimal	TRUE	TRUE	exact numeric of selectable precision
postgres	double precision	float	col_double_precision double precision	TRUE	TRUE	double precision floating-point number (8 bytes)
postgres	float4	float	col_float4 float4	TRUE	TRUE	single precision floating-point number (4 bytes)
postgres	float8	float	col_float8 float8	TRUE	TRUE	double precision floating-point number (8 bytes)
postgres	inet	string	col_inet inet	FALSE	FALSE	IPv4 or IPv6 host address
postgres	int	integer	col_int int	TRUE	TRUE	signed four-byte integer
postgres	int2	smallint	col_int2 int2	TRUE	TRUE	signed two-byte integer
postgres	int4	integer	col_int4 int4	TRUE	TRUE	signed four-byte integer
postgres	int8	bigint	col_int8 int8	TRUE	TRUE	signed eight-byte integer
postgres	integer	integer	col_integer integer	TRUE	TRUE	signed four-byte integer
postgres	interval	datetime	col_interval interval	FALSE	FALSE	time span
postgres	json	json	col_json json	TRUE	TRUE	textual JSON data
postgres	jsonb	binary	col_jsonb jsonb	TRUE	TRUE	binary JSON data, decomposed
postgres	line	string	col_line line	FALSE	FALSE	infinite line on a plane
postgres	lseg	string	col_lseg lseg	FALSE	FALSE	line segment on a plane
postgres	macaddr	string	col_macaddr macaddr	FALSE	FALSE	MAC (Media Access Control) address
postgres	money	decimal	col_money money	TRUE	TRUE	currency amount
postgres	name	string	col_name name	TRUE	TRUE	
postgres	numeric	decimal	col_numeric numeric	TRUE	TRUE	exact numeric of selectable precision
postgres	path	string	col_path path	FALSE	FALSE	geometric path on a plane
postgres	pg_lsn	bigint	col_pg_lsn pg_lsn	FALSE	FALSE	PostgreSQL Log Sequence Number
postgres	point	string	col_point point	FALSE	FALSE	geometric point on a plane
postgres	polygon	string	col_polygon polygon	FALSE	FALSE	closed geometric path on a plane
postgres	real	decimal	col_real real	TRUE	TRUE	single precision floating-point number (4 bytes)
postgres	serial	integer	col_serial serial	TRUE	TRUE	autoincrementing four-byte integer
postgres	serial2	smallint	col_serial2 serial2	TRUE	TRUE	autoincrementing two-byte integer
postgres	serial4	integer	col_serial4 serial4	TRUE	TRUE	autoincrementing four-byte integer
postgres	serial8	integer	col_serial8 serial8	TRUE	TRUE	autoincrementing eight-byte integer
postgres	smallint	smallint	col_smallint smallint	TRUE	TRUE	signed two-byte integer
postgres	smallserial	smallint	col_smallserial smallserial	TRUE	TRUE	autoincrementing two-byte integer
postgres	text	text	col_text text	TRUE	TRUE	variable-length character string
postgres	time	time	col_time time	TRUE	TRUE	time of day (no time zone)
postgres	time with time zone	time	col_time_with_time_zone time with time zone	TRUE	TRUE	time of day, including time zone
postgres	time without time zone	time	col_time_without_time_zone time without time zone	TRUE	TRUE	time of day (no time zone)
postgres	timestamp	timestamp	col_timestamp timestamp	TRUE	TRUE	date and time (no time zone)
postgres	timestamp without time zone	timestamp	col_timestamp_without_time_zone timestamp without time zone	TRUE	TRUE	date and time (no time zone)
postgres	timestamp with time zone	timestamp	col_timestamp_with_time_zone timestamp with time zone	TRUE	TRUE	date and time, including time zone
postgres	timestamptz	timestamp	col_timestamptz timestamptz	TRUE	TRUE	date and time, including time zone
postgres	timetz	time	col_timetz timetz	TRUE	TRUE	time of day, including time zone
postgres	tsquery	string	col_tsquery tsquery	FALSE	FALSE	text search query
postgres	tsvector	string	col_tsvector tsvector	FALSE	FALSE	text search document
postgres	txid_snapshot	string	col_txid_snapshot txid_snapshot	FALSE	FALSE	user-level transaction ID snapshot
postgres	uuid	string	col_uuid uuid	FALSE	FALSE	universally unique identifier
postgres	varbit	string	col_varbit varbit	FALSE	FALSE	variable-length bit string
postgres	varchar	string	col_varchar varchar	TRUE	TRUE	variable-length character string
postgres	xml	string	col_xml xml	FALSE	FALSE	XML data
postgres	void			FALSE	FALSE	
redshift	bigint	bigint	col_bigint bigint	TRUE	TRUE	signed eight-byte integer
redshift	boolean	bool	col_boolean boolean	TRUE	FALSE	logical boolean (true/false)
redshift	bool	bool	col_bool bool	TRUE	FALSE	logical boolean (true/false)
redshift	char	string	col_char char(17)	TRUE	TRUE	fixed-length character string
redshift	bpchar	string		FALSE	TRUE	fixed-length character string
redshift	character	string	col_character character(17)	TRUE	TRUE	fixed-length character string
redshift	character varying	string	col_character_varying character varying	TRUE	TRUE	variable-length character string
redshift	date	date	col_date date	TRUE	TRUE	calendar date (year, month, day)
redshift	decimal	decimal	col_decimal decimal	TRUE	TRUE	exact numeric of selectable precision
redshift	double precision	float	col_double_precision double precision	TRUE	TRUE	double precision floating-point number
redshift	integer	integer	col_integer integer	TRUE	TRUE	signed four-byte integer
redshift	real	float	col_real real	TRUE	TRUE	single precision floating-point number
redshift	smallint	smallint	col_smallint smallint	TRUE	TRUE	signed two-byte integer
redshift	timestamp	timestamp	col_timestamp timestamp	TRUE	TRUE	date and time (without time zone)
redshift	timestamp without time zone	timestamp	col_timestamp_without_time_zone timestamp without time zone	TRUE	TRUE	date and time (without time zone)
redshift	timestamptz	timestamp	col_timestamptz timestamptz	TRUE	TRUE	date and time (with time zone)
redshift	timestamp with time zone	timestamp	col_timestamp_with_time_zone timestamp with time zone	TRUE	TRUE	date and time (with time zone)
redshift	int2	smallint	col_int2 int2	TRUE	TRUE	signed four-byte integer
redshift	int4	integer	col_int4 int4	TRUE	TRUE	signed four-byte integer
redshift	int8	bigint	col_int8 int8	TRUE	TRUE	signed eight-byte integer
redshift	float	float	col_float float	TRUE	TRUE	eigth-byte float
redshift	float4	float	col_float4 float4	TRUE	TRUE	four-byte float
redshift	float8	float	col_float8 float8	TRUE	TRUE	eigth-byte float
redshift	numeric	decimal	col_numeric numeric	TRUE	TRUE	exact numeric of selectable precision
redshift	varchar	string	col_varchar varchar	TRUE	TRUE	variable-length character string with a user-defined limit
redshift	name	string		FALSE	FALSE	
snowflake	array	text	col_array array	FALSE	FALSE	
snowflake	bigint	bigint	col_bigint bigint	TRUE	TRUE	Synonymous with NUMBER except precision and scale cannot be specified.
snowflake	binary	binary	col_binary binary(100)	FALSE	FALSE	
snowflake	boolean	bool	col_boolean boolean	TRUE	TRUE	Currently only supported for accounts provisioned after January 25, 2016.
snowflake	char	string	col_char char(17)	TRUE	TRUE	Synonymous with VARCHAR except default length is VARCHAR(1).
snowflake	character	string	col_character character(17)	TRUE	TRUE	Synonymous with VARCHAR except default length is VARCHAR(1).
snowflake	date	date	col_date date	TRUE	TRUE	
snowflake	datetime	timestamp	col_datetime datetime	TRUE	TRUE	Alias for TIMESTAMP_NTZ
snowflake	decimal	decimal	col_decimal decimal	TRUE	TRUE	Synonymous with NUMBER.
snowflake	double	float	col_double double	TRUE	TRUE	Synonymous with FLOAT.
snowflake	double precision	float	col_double_precision double precision	TRUE	TRUE	Synonymous with FLOAT.
snowflake	fixed	decimal		FALSE	FALSE	
snowflake	float	float	col_float float	TRUE	TRUE	
snowflake	float4	float	col_float4 float4	TRUE	TRUE	
snowflake	float8	float	col_float8 float8	TRUE	TRUE	
snowflake	int	integer	col_int int	TRUE	TRUE	Synonymous with NUMBER except precision and scale cannot be specified.
snowflake	integer	integer	col_integer integer	TRUE	TRUE	Synonymous with NUMBER except precision and scale cannot be specified.
snowflake	number	decimal	col_number number	TRUE	TRUE	Default precision and scale are (38,0).
snowflake	numeric	decimal	col_numeric numeric	TRUE	TRUE	Synonymous with NUMBER.
snowflake	object	text	col_object object	FALSE	FALSE	
snowflake	real	float	col_real real	TRUE	TRUE	Synonymous with FLOAT.
snowflake	smallint	smallint	col_smallint smallint	TRUE	TRUE	Synonymous with NUMBER except precision and scale cannot be specified.
snowflake	string	string	col_string string	TRUE	TRUE	Synonymous with VARCHAR.
snowflake	text	text	col_text text	TRUE	TRUE	Synonymous with VARCHAR.
snowflake	time	time	col_time time	TRUE	TRUE	
snowflake	timestamp	timestamp	col_timestamp timestamp	TRUE	TRUE	Alias for one of the TIMESTAMP variations (TIMESTAMP_NTZ by default).
snowflake	timestamp_ltz	timestamp	col_timestamp_ltz timestamp_ltz	TRUE	TRUE	TIMESTAMP with local time zone; time zone, if provided, is not stored.
snowflake	timestamp_ntz	timestamp	col_timestamp_ntz timestamp_ntz	TRUE	TRUE	TIMESTAMP with no time zone; time zone, if provided, is not stored.
snowflake	timestamp_tz	timestamp	col_timestamp_tz timestamp_tz	TRUE	TRUE	TIMESTAMP with time zone.
snowflake	varbinary	binary	col_varbinary varbinary(100)	FALSE	FALSE	Synonymous with BINARY.
snowflake	varchar	string	col_varchar varchar(100)	TRUE	TRUE	Default (and maximum) is 16,777,216 bytes.
snowflake	variant	text	col_variant variant	FALSE	FALSE	
sqlite	blob	text	col_blob blob	TRUE	TRUE	
sqlite	varchar	string	col_varchar varchar	TRUE	TRUE	
sqlite	bigint	bigint	col_bigint bigint	TRUE	TRUE	
sqlite	integer	bigint	col_integer integer	TRUE	TRUE	
sqlite	null	text	col_null null	TRUE	TRUE	
sqlite	real	decimal	col_real real	TRUE	TRUE	
sqlite	decimal	decimal	col_decimal decimal	TRUE	TRUE	
sqlite	date	datetime	col_date date	TRUE	TRUE	
sqlite	text	text	col_text text	TRUE	TRUE	
sqlserver	bigint	bigint	col_bigint bigint	TRUE	TRUE	
sqlserver	binary	binary	col_binary binary(100)	TRUE	FALSE	
sqlserver	bit	smallint	col_bit bit	FALSE	FALSE	
sqlserver	char	string	col_char char(17)	TRUE	TRUE	
sqlserver	date	date	col_date date	TRUE	TRUE	
sqlserver	datetime	datetime	col_datetime datetime	TRUE	TRUE	
sqlserver	datetime2	datetime	col_datetime2 datetime2	TRUE	TRUE	
sqlserver	datetimeoffset	datetime	col_datetimeoffset datetimeoffset	FALSE	FALSE	
sqlserver	decimal	decimal	col_decimal decimal	TRUE	TRUE	
sqlserver	float	float	col_float float	TRUE	TRUE	
sqlserver	image	binary	col_image image	FALSE	FALSE	
sqlserver	int	integer	col_int int	TRUE	TRUE	
sqlserver	money	decimal	col_money money	TRUE	TRUE	
sqlserver	nchar	string	col_nchar nchar(17)	TRUE	TRUE	
sqlserver	ntext	string	col_ntext ntext	TRUE	TRUE	
sqlserver	numeric	decimal	col_numeric numeric	TRUE	TRUE	
sqlserver	nvarchar	string	col_nvarchar nvarchar(100)	TRUE	TRUE	
sqlserver	real	decimal	col_real real	TRUE	TRUE	
sqlserver	smalldatetime	datetime	col_smalldatetime smalldatetime	TRUE	TRUE	
sqlserver	smallint	smallint	col_smallint smallint	TRUE	TRUE	
sqlserver	smallmoney	decimal	col_smallmoney smallmoney	TRUE	TRUE	
sqlserver	text	text	col_text text	TRUE	TRUE	
sqlserver	time	time	col_time time	TRUE	TRUE	
sqlserver	tinyint	smallint	col_tinyint tinyint	TRUE	TRUE	
sqlserver	varbinary	binary	col_varbinary varbinary(100)	TRUE	FALSE	
sqlserver	varchar	string	col_varchar varchar(100)	TRUE	TRUE	
azuredwh	bigint	bigint	col_bigint bigint	TRUE	TRUE	
azuredwh	binary	binary	col_binary binary(100)	TRUE	FALSE	
azuredwh	bit	smallint	col_bit bit	FALSE	FALSE	
azuredwh	char	string	col_char char	TRUE	TRUE	
azuredwh	date	date	col_date date	TRUE	TRUE	
azuredwh	datetime	datetime	col_datetime datetime	TRUE	TRUE	
azuredwh	datetime2	datetime	col_datetime2 datetime2	TRUE	TRUE	
azuredwh	datetimeoffset	datetime	col_datetimeoffset datetimeoffset	TRUE	TRUE	
azuredwh	decimal	decimal	col_decimal decimal	TRUE	TRUE	
azuredwh	float	float	col_float float	TRUE	TRUE	
azuredwh	image	binary	col_image image	FALSE	FALSE	
azuredwh	int	integer	col_int int	TRUE	TRUE	
azuredwh	money	decimal	col_money money	TRUE	TRUE	
azuredwh	nchar	string	col_nchar nchar	TRUE	TRUE	
azuredwh	ntext	string	col_ntext ntext	TRUE	TRUE	
azuredwh	numeric	decimal	col_numeric numeric	TRUE	TRUE	
azuredwh	nvarchar	string	col_nvarchar nvarchar	TRUE	TRUE	
azuredwh	real	decimal	col_real real	TRUE	TRUE	
azuredwh	smalldatetime	datetime	col_smalldatetime smalldatetime	TRUE	TRUE	
azuredwh	smallint	smallint	col_smallint smallint	TRUE	TRUE	
azuredwh	smallmoney	decimal	col_smallmoney smallmoney	TRUE	TRUE	
azuredwh	time	time	col_time time	TRUE	TRUE	
azuredwh	tinyint	smallint	col_tinyint tinyint	TRUE	TRUE	
azuredwh	varbinary	binary	col_varbinary varbinary(100)	FALSE	FALSE	
azuredwh	varchar	string	col_varchar varchar	TRUE	TRUE	